GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36
0500000US01001,01001,"Autauga County, Alabama",33267,2306,48819,1806,55557,4972,63333,10482,49139,2976,57083,18156,61250,20592,75259,7272,32393,33581,38272,4831,40625,8018,29006,22647,39132,2210,12969,31509,48662,4885,51415,2611,31484,12055,17692,2478,22344,9172,46000,9182,32454,15256,49882,6815,14088,2671,12684,2698,14881,4195,26687,1982,24813,4169,28226,4414,31819,3245,77813,61406,31128,7730,31402,5135,35594,3034,36059,3893,47266,13608,19076,4808
0500000US01003,01003,"Baldwin County, Alabama",31540,683,49524,1811,57150,6980,63422,6512,49923,4506,73398,8476,64133,13586,79840,23510,45037,4485,40756,2830,44340,9117,45842,25959,42772,1841,27056,11743,49076,3755,60309,3448,33397,7947,16878,1268,20319,2426,40868,4962,38750,7933,44071,8245,12266,1441,20806,2091,14849,2913,25981,1257,26460,2768,25612,1520,31496,1216,31396,4338,30243,2897,35603,3882,30549,1606,29604,4554,35504,6260,24182,3580
0500000US01005,01005,"Barbour County, Alabama",26575,1653,41652,2638,51797,5980,52775,7119,48043,10379,48315,8797,42222,11722,60313,27961,63125,118346,40450,3717,52837,24168,76080,18280,40190,5305,15556,6012,35970,7700,44803,11260,21250,13711,15809,1926,21005,2563,26447,11234,16458,26405,35625,6629,10531,1843,18375,4990,11563,2219,21622,952,20450,2263,22140,1782,31235,3644,36164,5905,27207,6613,37847,11189,26094,4884,25339,4900,37282,6017,16607,3497
0500000US01007,01007,"Bibb County, Alabama",30088,2224,40787,2896,50069,12841,67917,26016,27407,21107,80781,61661,102321,27858,36429,39617,-,**,40477,9660,22390,21553,-,**,42068,4212,-,**,31681,13989,31121,11084,40144,31800,16204,2842,4698,15440,41658,6549,53583,23687,41304,1884,12729,3142,17115,15663,18108,2008,24509,6483,23952,7382,24870,11301,40935,7864,20536,14629,40128,18938,45952,5622,28983,3401,31881,2317,26580,2901,23479,4942
0500000US01009,01009,"Blount County, Alabama",34900,2063,46593,2963,47003,6189,50991,5913,41050,1789,63667,8499,49196,12910,71836,4571,30956,22818,38198,6362,33375,19090,42328,10654,41786,4333,30951,2197,49066,3437,51287,3577,34063,12304,19415,5044,23975,5070,42359,7623,54028,13919,40890,2859,11800,1249,22153,9332,11949,4536,28364,3209,31639,8611,27590,2805,38857,4320,24063,14655,36529,2247,42489,7176,32969,3767,31814,4551,41375,5280,26755,2963
0500000US01011,01011,"Bullock County, Alabama",23998,3240,39091,7597,40934,2957,40404,5075,54167,7316,-,**,-,**,-,**,-,**,30724,31998,-,**,120613,68411,14861,38989,-,**,11146,37910,48167,36495,-,**,18095,7306,16181,30254,47686,13134,-,**,47686,13134,4390,11259,11071,25065,19630,3850,20667,7380,23618,19316,18778,8527,21291,6944,22241,4865,14794,41314,7375,63922,25713,3352,23531,5706,31141,812,25380,6312
0500000US01013,01013,"Butler County, Alabama",27434,1994,42161,2426,42391,4933,42679,6273,41818,8041,60313,13208,62031,32405,50000,19033,115795,121973,40946,8980,42778,19344,50781,52920,43750,6204,21250,14893,36906,5977,51339,9308,33750,9068,16917,1592,21438,3239,33750,9029,12625,16935,37375,10104,13027,2100,17331,2206,16111,13351,22907,2972,22202,9827,23133,2589,30054,6208,29625,25723,26888,6160,33750,10894,28325,3165,28052,5498,31875,8159,26534,1235
0500000US01015,01015,"Calhoun County, Alabama",28183,1501,41933,1225,50217,6332,51559,4623,41639,2455,52966,3250,49013,15485,60951,15010,40602,6130,36720,4104,33886,3895,76042,105296,40418,3561,19750,10374,41243,2553,52964,5001,26680,5760,15318,893,19808,5209,35684,3011,26337,12447,36868,7309,11595,1117,16079,1279,13141,2325,23781,1691,19090,3869,26183,1465,32716,4774,21627,5408,26613,2261,41326,3530,30350,1339,31070,1923,33767,4428,23595,4747
0500000US01017,01017,"Chambers County, Alabama",28218,1769,43218,2889,46612,6768,55750,11072,38929,12757,42132,11002,60132,37576,50000,23812,32406,7660,36406,5924,26089,9334,44412,36460,39167,3444,15455,18747,49821,16338,52199,7649,38438,16401,15758,1520,26613,5730,24655,12045,21458,8133,31367,11785,11615,1945,18816,3283,12866,2674,22542,1650,17436,4091,24758,1843,40134,4710,36042,25438,40542,4357,39813,13914,27420,2418,29778,2885,32386,21812,22048,1658
0500000US01019,01019,"Cherokee County, Alabama",30360,1343,42276,4464,40775,2431,40262,3857,56645,17553,41090,7566,45588,24558,46563,11207,16660,7660,43849,9192,29091,23310,142589,201901,42857,11044,47813,83129,47083,4104,61000,13506,25900,6549,16573,1254,18092,3978,30982,17091,"2,500-",***,46371,2826,9049,2953,21272,5887,15639,1579,25556,3061,21361,5721,30425,9432,30848,8989,20526,10141,22349,5510,41611,7769,30059,2637,32083,5888,29063,13421,19569,5858
0500000US01021,01021,"Chilton County, Alabama",30459,1455,44944,3858,53438,7824,58322,9866,47331,6388,64333,10919,73209,21563,65804,48402,58281,10554,40648,2263,36100,9580,44938,23807,41816,1961,28542,9601,36840,5292,41063,14062,35575,5661,14649,1721,11232,3108,27530,8374,21332,503,29226,5428,13113,2699,15551,2742,13710,1869,27768,3546,22500,7209,30537,1783,32781,4462,36806,12021,30109,3045,41016,5565,29127,3878,29690,6561,31379,11419,23924,1258
0500000US01023,01023,"Choctaw County, Alabama",31245,1907,42688,4531,61597,16257,63750,17992,46875,45290,41518,57118,37417,5073,84583,53967,-,**,37500,14102,21083,16811,-,**,40872,3043,6813,23717,36774,21849,57664,17581,27321,11065,15482,2676,13571,4080,19712,58118,18269,6737,-,**,13036,3640,19226,3576,9612,2547,21299,3265,14398,5974,22303,5175,50335,10839,30590,21493,51786,16133,60313,36485,38869,8972,58155,12487,21797,8548,26000,6124
0500000US01025,01025,"Clarke County, Alabama",32238,2377,47327,4856,54398,18482,62250,19300,52731,19689,71058,10441,77083,113512,112019,87910,70064,26020,41151,5770,48906,14903,30750,10933,44375,5821,-,**,45208,7466,60391,12580,26033,14122,15719,1403,19063,7160,30139,22157,16250,1025,41424,24124,11392,2531,16215,3449,9750,8623,21230,3400,17994,5468,26922,3363,52849,9896,41813,4647,47344,11495,66019,9401,37093,6350,46957,13002,33066,10081,29828,5436
0500000US01027,01027,"Clay County, Alabama",24936,1635,38817,7377,49028,10346,56581,40335,36125,17461,91324,47539,-,**,-,**,-,**,38551,11906,53500,29344,-,**,37869,22842,3594,19166,25951,3662,35804,18247,7365,30763,15777,4345,17263,8933,30954,11228,31678,28330,20208,7740,9086,2056,17083,10151,18079,6655,18879,5943,21750,16522,18493,7116,32401,14645,22063,22507,27484,15716,41424,11519,24393,2408,24301,3094,26210,9909,23566,5360
0500000US01029,01029,"Cleburne County, Alabama",29499,2701,41642,3229,41905,15388,42440,15227,31375,29948,42250,50187,37500,98181,66810,18636,39063,13475,45792,25066,51944,16673,45769,27998,38523,32879,-,**,40963,2557,42072,17981,39375,3232,13333,3847,16750,8651,29318,11281,40179,34884,29205,3211,9231,3902,21477,7271,7143,5534,26250,3146,21864,4303,30732,2190,36068,7423,27833,14134,37596,19226,40854,9316,32191,4700,35625,6136,31705,18424,26413,5856
0500000US01031,01031,"Coffee County, Alabama",28493,1552,46653,3981,44385,7916,37639,11034,55690,7401,75625,5328,78935,8952,42154,17566,75417,56571,43526,3540,39792,9533,53750,36518,43322,3799,51120,10965,47917,5897,61000,13263,27228,7797,14737,1177,17804,2590,42986,15324,24500,24512,45522,3787,10543,1314,14575,2252,14495,2976,22760,2264,19531,2708,25467,2079,34100,4475,17958,2685,30011,10385,54101,4713,26929,1515,25255,5007,45264,11791,23923,2476
0500000US01033,01033,"Colbert County, Alabama",30681,1252,48007,2873,50107,8004,55211,11640,41825,7487,69893,8706,82767,7071,69518,7665,65096,76951,45553,5122,47955,8563,57109,47438,46762,5129,21379,8841,45397,3379,48974,3705,30652,10718,18632,1650,20382,3404,31480,6734,30400,6673,38558,20637,13898,4270,21279,4526,14597,4973,24330,1723,24353,4647,24323,1825,39787,6306,20000,9499,35114,5369,45363,5031,30298,2695,31674,6220,36754,5109,25000,5584
0500000US01035,01035,"Conecuh County, Alabama",26789,2714,42313,7043,42188,12294,46250,16787,41375,17169,57700,30745,-,**,58350,12609,-,**,48393,8105,30000,51712,-,**,50263,8205,46250,78319,33021,20239,33854,45228,25500,28231,13236,2394,17581,3834,16667,22709,16481,15823,40556,66262,7540,4914,14024,2203,6250,8722,20301,2967,20947,5591,19871,3795,40202,15080,47250,21626,21286,11249,52024,7420,32386,5403,32740,8101,39583,8458,30466,10012
0500000US01037,01037,"Coosa County, Alabama",26003,1950,49412,14179,52083,28660,50972,13837,69079,26213,59688,38382,89013,14385,57865,53588,-,**,31979,26034,36563,34461,-,**,25278,17816,-,**,25481,11472,"2,500-",***,26324,72772,16528,1258,19496,6018,36583,11157,-,**,36000,11638,6455,812,22250,14278,13500,5725,27454,5386,23438,13138,28397,4438,29063,9322,-,**,28854,2802,35938,29596,25724,3631,25668,3226,38250,9547,21993,4706
0500000US01039,01039,"Covington County, Alabama",28965,1815,45058,4659,51170,2942,52689,6620,42348,8862,49236,7681,17417,44345,56250,24470,50385,39934,39475,5068,29866,19110,91111,18651,39583,5480,20208,18229,41363,2238,56065,10384,30000,3581,15038,2202,19750,1817,41182,5708,24583,26689,42230,11648,12133,1998,17656,7954,10519,3256,21043,1260,18359,4948,21458,1151,38003,4379,25489,9851,35720,10703,40540,3233,27273,2372,26703,2176,33750,7875,20132,7491
0500000US01041,01041,"Crenshaw County, Alabama",29167,1813,41935,2255,52717,5526,56964,15690,40938,11714,51250,14096,50139,27417,55880,22611,47750,36156,40625,2622,39712,8394,-,**,40750,1307,53000,78088,32455,3056,36607,32215,22045,7881,15085,3625,19545,4178,35536,8883,40125,33707,35357,10100,10395,4969,14250,6998,10521,6908,24728,2641,22070,4043,25458,1787,31162,3886,22750,9242,29783,9013,36711,10260,28149,4053,30529,1775,30269,8524,12368,8547
0500000US01043,01043,"Cullman County, Alabama",30131,1298,41943,2283,48299,5531,50729,6403,41304,14246,71006,5153,69250,12786,71912,14539,70057,79859,32352,6914,35987,11315,85109,75639,32290,6007,31053,7074,39797,2738,51903,4974,29154,2729,17207,1359,23366,2355,39891,24187,18508,14860,43301,19923,12401,2585,20346,4430,14895,2571,25041,1446,23117,4627,25548,1543,33914,3952,31375,23075,30843,2866,38929,5058,30362,3194,30209,5277,31637,4022,27987,4679
0500000US01045,01045,"Dale County, Alabama",27630,1604,41372,2008,41940,6939,39600,8405,55786,10721,63657,6182,59375,14425,71719,20355,31667,22043,38891,4258,25982,10384,57396,21405,40485,2840,27014,17023,39904,6737,51707,4413,26946,2544,16362,2663,20429,2628,42766,5441,39000,9925,51923,8325,11106,1520,16224,4917,14258,2936,21842,1574,20584,3093,22429,2490,43229,6425,9541,10417,28597,4315,52066,6526,26701,2365,24359,2680,35935,2521,20036,5067
0500000US01047,01047,"Dallas County, Alabama",25007,1487,38495,4199,40804,8421,43558,10763,39082,5678,49063,22497,59531,13376,37240,32813,50551,33406,27500,16060,22375,8200,36071,103630,39231,8968,-,**,41397,5902,52778,6096,27675,9065,15985,1386,17583,2439,19325,6689,15292,11053,24583,27806,11250,2085,17961,4770,14725,4689,24677,1736,24621,2547,24729,2246,30331,7187,18558,4041,27443,8653,44203,6408,21925,2048,22402,3558,22283,11633,18634,4654
0500000US01049,01049,"DeKalb County, Alabama",26303,731,44517,3139,46293,5760,47123,7051,44310,11058,51667,9625,50846,12949,63750,25392,36964,16113,44402,6584,39509,3985,82941,11515,49147,4989,10227,16852,40591,2799,49688,12482,35728,6563,16165,1359,16790,2267,32500,3887,30947,7859,35250,12384,12055,1986,17515,2686,12442,3684,22953,2313,19904,3342,25071,1643,27850,2882,13393,9151,25587,4489,36817,3299,26144,1180,26344,1354,33144,7971,22083,1685
0500000US01051,01051,"Elmore County, Alabama",34683,1772,49731,2039,52093,3131,53085,4085,50190,7073,64265,8022,75617,5328,54762,8156,49010,7088,42268,2890,37614,7067,71181,22511,43034,3728,37188,24298,44931,6310,51667,6332,36587,7660,16960,1830,16777,3392,40313,3988,33173,15898,42679,6319,14119,3135,12393,3870,14673,6174,27037,1816,24871,5098,27548,2360,33609,3363,40536,46537,26493,2732,40726,3369,33352,4358,38300,5918,36444,6589,24333,8322
0500000US01053,01053,"Escambia County, Alabama",27763,2425,41532,1395,47024,6458,42833,7985,51544,8147,51667,29699,32938,10987,80664,19757,50833,60311,31372,4339,30644,3931,60096,52125,30417,19743,31023,5870,42256,6244,50025,9905,40052,25677,14775,2158,20242,4238,37466,9379,18654,30260,43914,6315,10862,1619,17577,5414,15542,6959,22274,2539,17702,3351,24693,4609,37312,6067,40588,13705,36875,5962,37833,19664,31124,1351,30794,3282,33413,9079,30321,10406
0500000US01055,01055,"Etowah County, Alabama",27740,1278,44688,2512,50773,3228,51616,5102,47688,6673,52397,8511,45132,8491,60806,9346,52917,30835,37835,3637,34695,7892,49040,2485,40244,2415,25667,18930,46741,3350,55211,6108,34577,4088,16245,836,18842,1681,31128,2086,19360,10485,40238,8428,11904,1233,17595,2181,14938,2348,24075,1935,24507,3124,23854,2279,30383,2502,24432,11293,26838,2292,37233,3078,27161,1888,27019,2520,38958,7464,23020,2782
0500000US01057,01057,"Fayette County, Alabama",30288,2425,42433,3317,55766,7111,56688,8882,44615,28085,68036,11758,74659,28614,64191,2674,-,**,39089,4888,29583,16433,176442,53284,40018,2302,37321,53516,39886,7062,38750,15228,41136,16761,15584,2937,14030,2173,40025,32170,18266,2099,41486,893,6793,7806,22917,11972,13716,1716,16250,2195,11516,3204,18920,3654,29574,4541,12391,38790,27500,7832,39911,14941,32424,5624,31088,7824,46333,15718,27083,8487
0500000US01059,01059,"Franklin County, Alabama",25428,1535,41511,3595,47398,12588,51316,15304,46250,12697,46250,16674,41389,23847,51547,5398,21981,35119,33750,19059,36467,23640,46667,161602,35750,40606,11328,19350,40083,9939,47656,8863,33000,7284,16211,1973,20167,5293,22880,4851,18438,14405,24239,3922,11607,3347,24131,4296,8094,3940,21486,1212,14819,4643,24395,3942,29121,2890,28426,4035,23674,6757,33911,5601,25892,2846,26981,5679,30114,12053,21346,3047
0500000US01061,01061,"Geneva County, Alabama",27852,1858,37349,5207,42098,7641,40301,5410,50913,8211,78942,25861,78462,12513,115143,139561,-,**,36142,1864,31920,5936,36827,55760,41389,9572,32955,30678,32461,9049,49583,12266,27222,5896,13677,1368,13750,3578,40250,26019,70536,24434,36250,5964,11380,1742,12998,1625,11284,3488,24909,3991,19232,3649,26631,2606,31062,4014,20518,6656,25139,6411,40208,8285,28025,4761,30069,6057,40926,7774,18601,2921
0500000US01063,01063,"Greene County, Alabama",22456,1947,37500,6933,36838,17938,36618,17255,56250,66544,-,**,-,**,-,**,-,**,22396,30384,-,**,-,**,22396,30384,-,**,38476,6036,38994,2483,-,**,14309,5558,12262,11110,63750,101268,63750,101268,-,**,11920,1356,21211,3034,20938,18914,20185,6449,14077,24837,22269,3544,21083,4265,-,**,20361,11797,48750,31744,28016,6313,33750,17917,40234,38091,20987,6941
0500000US01065,01065,"Hale County, Alabama",27372,2151,48750,6253,46328,13908,46328,15063,47500,33087,54688,3790,54479,5470,81923,29220,53688,4362,40789,14301,52143,24010,83750,118252,39432,8408,138194,131423,46033,5908,55000,20678,36750,4822,16250,1618,22589,11085,23750,8563,"2,500-",***,26250,37650,15587,5064,11923,4373,14444,4339,17582,3858,12458,3289,20500,3119,30551,3765,26106,2878,30900,9880,32355,38396,31738,3875,36299,6446,23750,10730,30236,12316
0500000US01067,01067,"Henry County, Alabama",29138,2674,45268,2867,45833,9046,47008,13801,42721,10988,61250,15574,80139,7412,69297,34028,41136,14079,31098,16708,44286,24849,30682,20265,29231,24309,35139,7664,47143,9134,50921,5189,16574,22474,14430,3364,21453,2805,50192,33343,51094,6406,32656,22036,9259,1927,16086,6010,17727,5150,25813,2933,26788,9219,24661,4188,30424,2375,25417,16525,30079,23269,38313,6883,29762,4655,30114,4768,35536,9147,19545,3467
0500000US01069,01069,"Houston County, Alabama",29329,850,45550,1463,50481,2772,52722,2794,44057,3050,57375,5445,52936,2762,66042,7273,53750,17621,36628,1853,40094,5282,31397,5691,37880,2668,30735,4432,47305,2647,57269,3811,31520,2119,15746,614,19307,1513,37763,2937,35600,5649,39417,3676,11752,671,15902,1248,15367,1573,25103,738,24741,1921,25246,746,31356,820,17396,8798,29918,3316,40422,2588,27368,1077,27450,1595,34537,4526,21101,2278
0500000US01071,01071,"Jackson County, Alabama",26722,819,43390,2772,50115,8419,47500,14311,50200,6197,70000,11442,60833,39441,73161,10113,44886,39631,34509,9265,25350,14783,61447,31013,44352,3121,5954,3675,39919,5788,50458,8928,23713,6202,16029,2396,16172,9069,30357,4024,21776,13570,33125,5122,12034,1505,18077,3718,11806,4662,22715,2038,22300,6972,22838,1943,32248,5389,22917,8183,28201,5126,39083,4695,26601,912,26599,1021,27303,5253,25732,3105
0500000US01073,01073,"Jefferson County, Alabama",33454,922,51836,521,61487,1296,65695,2967,54239,1720,63246,3139,67358,6892,71734,5128,45982,5000,43173,1595,37063,3275,86233,15622,41530,1400,40022,4811,48494,2091,56533,2694,30414,2100,16243,489,21186,868,36123,2387,23856,3824,50039,2407,13122,715,15458,712,13780,2216,28259,808,26625,1120,29074,762,32248,1442,24286,10439,26496,1105,41284,2015,30387,759,34935,1927,31220,1365,23226,1962
0500000US01075,01075,"Lamar County, Alabama",30530,2543,45298,6182,44706,18475,36750,42007,52250,38111,64627,5065,44891,31635,67639,21640,60192,48975,36250,14019,22132,5763,-,**,46771,7502,29732,85690,35972,19570,51071,11081,23831,4809,14383,1489,13558,7522,43713,7541,-,**,43272,13138,12996,1304,20000,8090,12000,8602,18781,7342,13387,6904,22849,5844,30442,5361,23125,34956,27014,6304,36875,15192,38038,3276,41200,8653,31559,1738,27143,18956
0500000US01077,01077,"Lauderdale County, Alabama",29703,1909,41980,976,43912,5051,49329,9524,41016,3972,64536,9729,61250,23449,62500,17927,76378,11530,38828,4120,35618,2918,57045,40396,42744,5852,25114,11296,36046,2675,47625,9019,26011,2735,15352,1730,25288,5762,35642,8713,31771,8500,40402,10206,11170,1155,16199,2783,13060,2011,23376,1437,22781,2584,23863,2275,38818,3128,19079,22732,37668,3468,43487,4972,31005,2864,33333,6542,33870,5910,22332,6507
0500000US01079,01079,"Lawrence County, Alabama",35038,1988,45084,3867,48333,10223,50568,11578,46385,12063,63664,27403,42000,17173,93661,50960,105938,4154,36804,7140,52614,12124,131875,68618,35774,16059,26384,4677,42176,9876,48688,14014,30388,9942,14364,4015,21824,2257,37083,18928,17639,14479,47250,14002,6938,1428,22537,8077,9073,5066,23949,3561,19533,1621,28690,6360,42102,5385,16250,7019,45767,8862,47121,10441,38721,4006,46011,8395,28609,6093,31798,3847
0500000US01081,01081,"Lee County, Alabama",30473,696,46727,1635,52465,3020,58785,6395,44692,5555,50334,4748,43731,13466,61850,8030,42254,5908,37668,2428,37917,3896,72895,33936,39420,3104,15684,7139,51130,2985,57313,4451,32066,4048,13039,1268,21547,2929,36144,3215,31105,15255,40254,6451,9332,1280,15426,3528,11011,2194,24516,1630,23735,2679,25053,1571,32297,1836,21771,43947,30691,2214,37809,4558,26539,1270,28275,4121,27632,9002,21299,4137
0500000US01083,01083,"Limestone County, Alabama",32613,2071,55599,2791,63510,2999,65795,14341,62460,6358,86250,14430,83278,20889,91750,17432,68750,113689,38688,4655,35978,7364,62917,37318,41060,2552,25194,15269,40953,5747,49531,4923,24212,1889,15862,1774,22421,5803,45956,5436,45206,13478,47781,7441,11342,2563,17022,2790,11328,5782,26324,1831,24163,3917,27514,2018,32319,2897,15787,22597,32015,2786,36231,6330,30650,2139,32513,3375,26699,6105,21912,5944
0500000US01085,01085,"Lowndes County, Alabama",27077,1539,48616,3825,45781,10915,42054,6398,61125,14228,70347,24241,70278,14176,80043,67474,-,**,48816,5429,41346,8548,52083,56613,50579,2481,18967,15085,42148,13904,42330,32638,41750,25829,13750,2933,14750,4708,38681,1777,23929,19288,38889,2656,7946,2694,12857,7293,6667,5940,26343,5876,20469,17508,27467,5176,35112,9847,31761,7820,26048,9369,42371,3703,25541,892,25403,1165,35139,13593,15938,15636
0500000US01087,01087,"Macon County, Alabama",24493,1620,36489,3735,46006,7110,41983,9412,48472,9619,25375,18699,30000,16244,55250,46738,5882,12725,24408,4354,28558,5059,113063,44442,23065,4715,4250,6825,43750,14899,60197,25989,32644,2161,16851,4716,24677,5091,30054,10639,23813,11776,35250,11949,10562,1844,18393,9825,8884,6238,19792,2115,13365,5554,21590,1377,32074,5827,12143,41328,26326,5661,37161,6542,26521,2295,27408,3838,21556,1192,29219,6961
0500000US01089,01089,"Madison County, Alabama",36595,852,63630,1487,72660,2858,79579,3568,64685,2604,90100,3757,85839,3616,95468,3334,69227,3945,38395,2997,38318,5749,66875,19686,36813,1771,32682,10100,45690,4391,57107,4900,29226,3854,15362,945,21448,938,32627,4107,30402,3138,40223,5703,11776,763,16485,1452,11811,1406,26776,696,23377,2219,28856,1561,29642,1927,25989,2266,25096,2438,36095,3051,27293,1314,30738,1490,29158,2062,19779,3265
0500000US01091,01091,"Marengo County, Alabama",28790,2439,37868,8743,36689,14382,36284,13494,45096,35498,81295,8904,-,**,105446,38123,81607,5898,38824,9417,32639,7874,31979,85034,41141,4712,-,**,31477,3440,34773,24269,31077,1262,17287,1809,16944,1945,48333,44461,-,**,54688,30866,5606,4442,17313,2430,21204,946,22384,6760,18531,6521,26144,5240,46452,13335,11964,59247,33798,8844,56596,16402,33586,8452,31614,17314,40875,18893,32112,8943
0500000US01093,01093,"Marion County, Alabama",26804,1437,44667,6849,51929,16921,67574,23732,50560,2624,60707,24757,36736,83032,62120,23395,-,**,31639,13644,30995,5091,-,**,41726,10309,17426,5179,41693,6402,62583,15763,30106,5989,15917,1860,18357,3045,36875,10044,26576,4714,41912,8999,9325,3434,15671,9602,14918,4125,24387,2180,17526,4366,25913,2660,27487,5411,47619,41305,23750,2697,42500,14141,27188,4807,23735,4523,36336,5653,27391,6810
0500000US01095,01095,"Marshall County, Alabama",26576,686,43351,1926,51054,5657,55726,12994,47219,5610,66250,11688,75667,13579,58750,11947,55982,33607,37833,3605,36467,7382,66042,56629,38685,3468,23000,9088,42333,3187,46992,4919,30523,6758,15075,1815,20463,3382,35424,5568,20441,7789,38214,3040,9670,2216,15458,4121,11613,2570,21567,1156,20634,2227,22004,1386,26856,3405,18253,4081,26574,4619,31039,3772,26014,1033,26893,856,31998,2842,18302,3595
